Bitrate,FPS,FileSize,Height,Motion,Power,Quality,Video,Width,video
150,24,635,180,0.0,184.2212550200079,0.0,,320,tos
150,24,7940,180,0.067865,418.3821601800007,8.198325,,320,tos
150,24,5117,180,2.503155833333333,160.72478608000233,90.18041833333332,,320,tos
150,24,20328,180,3.66523625,588.2123490799952,0.0,,320,tos
150,24,17934,180,8.669228333333333,167.49627402001192,0.34145125,,320,tos
150,24,22405,180,14.890849583333333,176.04033996000476,5.535116666666667,,320,tos
150,24,18255,180,15.352540833333334,151.01361149999775,3.755974583333333,,320,tos
150,24,17734,180,13.339497083333333,146.59912175999943,2.2600766666666665,,320,tos
150,24,17235,180,8.29674666666667,256.33471071999907,0.0,,320,tos
150,24,21754,180,7.75905375,861.450316559997,0.0,,320,tos
150,24,14829,180,6.083812916666665,175.1216145599965,3.46200625,,320,tos
150,24,16869,180,4.8339358333333315,143.9561055400011,31.25539208333333,,320,tos
150,24,15095,180,8.30102125,135.90001730000608,19.943657083333328,,320,tos
150,24,21269,180,2.3196245833333333,262.26733347999675,0.0,,320,tos
150,24,10298,180,2.3733866666666668,326.4921394999967,0.0,,320,tos
150,24,21971,180,2.36364125,323.84293218000016,0.0,,320,tos
150,24,11561,180,2.7087708333333333,105.661649520006,0.0,,320,tos
150,24,21860,180,2.610407083333333,117.48965682000153,0.0,,320,tos
150,24,10903,180,2.744335833333333,132.96905216000846,0.0,,320,tos
150,24,26517,180,4.295660000000002,259.4963118200005,0.0,,320,tos
150,24,16125,180,1.6993370833333332,489.0678228400004,0.0,,320,tos
150,24,19327,180,1.9702537500000004,237.4187474799926,0.0,,320,tos
150,24,16872,180,2.1649395833333336,116.86833383999988,0.0,,320,tos
150,24,20059,180,2.497784583333333,250.79384053999797,0.0,,320,tos
150,24,12986,180,2.610744583333334,112.79199971999515,0.0,,320,tos
150,24,25512,180,3.0349133333333325,102.15473400000246,0.0,,320,tos
150,24,14731,180,2.8364675,589.3611401800001,0.0,,320,tos
150,24,24510,180,3.02068,180.70108786000264,0.0,,320,tos
150,24,9999,180,2.065781666666666,137.71807874000115,0.0,,320,tos
150,24,22426,180,2.0248854166666668,109.54802154000231,0.0,,320,tos
150,24,12636,180,1.4336083333333332,155.57991066,0.0,,320,tos
150,24,23668,180,1.7110441666666667,542.7096460400087,0.0,,320,tos
150,24,13146,180,2.712565000000001,432.439905259994,0.0,,320,tos
150,24,22734,180,2.7968491666666666,192.20470757999783,0.0,,320,tos
150,24,18247,180,6.598969583333332,128.86526650000633,0.0,,320,tos
150,24,17350,180,4.866329583333333,112.20002012000396,0.0,,320,tos
150,24,14610,180,3.8734808333333337,202.70910123999852,0.0,,320,tos
150,24,21009,180,2.01500875,398.24818047999884,0.0,,320,tos
150,24,13567,180,2.00938375,242.27829786000052,0.0,,320,tos
150,24,18685,180,4.822041249999999,168.76061629999504,0.0,,320,tos
150,24,14496,180,4.5492629166666685,110.96297266000056,0.0,,320,tos
150,24,23653,180,20.146844166666668,129.17530507999595,16.678259999999998,,320,tos
150,24,15132,180,19.881546250000003,186.1967806399948,7.52955625,,320,tos
150,24,19775,180,9.59047166666667,563.3041285000065,0.0,,320,tos
150,24,14896,180,10.374413333333333,89.94362276000334,0.0,,320,tos
150,24,20525,180,8.887860000000002,125.03521606000231,0.0,,320,tos
150,24,13705,180,5.697792916666665,142.65544566000062,0.0,,320,tos
150,24,20723,180,7.291254583333332,107.99418085999832,0.18854375,,320,tos
150,24,14829,180,4.262427916666667,184.94388859999594,0.0,,320,tos
150,24,19634,180,2.329466666666667,508.96413853999434,0.0,,320,tos
150,24,15980,180,6.4734766666666665,106.66898600000127,8.184432083333332,,320,tos
150,24,18797,180,3.3288499999999988,232.76722146000384,18.201999583333336,,320,tos
150,24,15408,180,4.8468229166666665,157.43931803999317,7.231176249999997,,320,tos
150,24,25090,180,7.852481250000001,153.43389633999936,13.377225,,320,tos
150,24,11362,180,4.144772916666667,386.0902485400013,16.179080833333334,,320,tos
150,24,19627,180,1.1599000000000002,328.93346687999906,26.07195708333333,,320,tos
150,24,11066,180,1.2532716666666666,163.88110784000082,29.19858541666667,,320,tos
150,24,25397,180,0.9587895833333334,116.77826380000488,34.03361041666666,,320,tos
150,24,10965,180,3.902109166666666,130.51186472000154,38.14209666666667,,320,tos
150,24,16010,180,0.05724291666666668,99.63414875999752,0.0,,320,tos
150,24,13391,180,0.05464541666666667,396.8163260200047,0.08159708333333332,,320,tos
150,24,14765,180,0.045285,1209.6824456800011,0.4205525,,320,tos
150,24,13353,180,0.037507499999999985,376.39840321999577,1.9620895833333336,,320,tos
150,24,20141,180,3.0918233333333327,226.38988356000118,4.54358,,320,tos
150,24,14817,180,1.6418549999999996,154.1890438399978,0.0,,320,tos
150,24,21053,180,1.5750204166666668,145.89457231999995,0.0,,320,tos
150,24,14473,180,1.5257370833333337,748.8431776000009,0.0,,320,tos
150,24,18364,180,1.48731125,251.63211509999496,0.0,,320,tos
150,24,18336,180,5.501123750000001,133.76746615999787,0.0,,320,tos
150,24,22761,180,3.6709116666666666,170.35719605999475,0.0,,320,tos
150,24,15524,180,4.7312329166666665,74.66232384000637,0.0,,320,tos
150,24,21994,180,3.7786433333333327,288.0132155400031,0.0,,320,tos
150,24,16027,180,5.157697500000001,552.0087041799991,0.0,,320,tos
150,24,22181,180,6.441497916666666,209.87479220000046,0.0,,320,tos
150,24,9974,180,2.9879812500000007,182.7190169400078,0.0,,320,tos
150,24,18441,180,3.3233874999999995,139.4037849600038,1.0655387499999998,,320,tos
