time,150,300,750,1200,1850,2850,4300,6000,9000,12000,size_150,size_300,size_750,size_1200,size_1850,size_2850,size_4300,size_6000,size_9000,size_12000
1,0.0,11690.305759220137,2216.174884619977,1659.2007781999564,2393.87537676003,2520.2167854399777,3424.376072299943,3881.012677520106,3337.8614792399385,3521.223290440037,73054,148243,341102,512215,763629,1149594,1630696,2311337,3575360,4933396
2,1099.3394415799503,15596.096187859868,1423.4992865399563,1177.3892402600013,1044.9302010200063,1643.8685654200053,2151.529943079975,2002.3556175200029,2360.383798439956,2392.0947121999416,79230,154772,357019,567176,850688,1253636,1842925,2644108,3999502,5512870
3,1013.3972727399687,11193.048925499847,1252.5728829199797,953.8345718600076,1360.1477228599488,1689.177054859938,1652.6059550200516,2033.181945640039,2147.515933580038,1597.076124380017,69210,135257,345571,553353,814499,1270578,1864475,2688380,4149892,5631317
4,727.7537742600143,2788.293714539981,1335.9736904600177,1103.2013451399853,1510.246311139952,1560.8165707000044,1969.6281395999576,1886.2111643399876,1986.2773281400168,1892.3879244200325,66265,136450,307969,491632,736735,1118917,1677782,2331487,3575836,4878095
5,1007.662175759986,1067.3203340599903,1158.9408345200263,599.1907393400134,596.0372301799789,1167.5492022200178,1898.167077999995,1425.942623780029,1723.9533192800172,1888.8563978000657,64931,129599,294446,459604,666933,1003823,1461771,2112844,3181831,4270983
6,987.5772651000452,1135.839155419977,1704.2952746199608,856.2696355800081,1246.7693683599882,2159.470387259984,2012.37008092008,1783.508761340032,1845.6396361600764,1431.287508099933,67729,129060,282158,427279,632405,950067,1343496,1944616,3078919,4282539
7,1235.516842039924,403.64877469999647,1346.7054438799569,949.794154480016,1173.9474523800072,1493.2640266199269,1572.1558797799298,1870.5268960600424,1729.2117617000058,1853.2508164800256,74434,145719,310212,503799,736917,1094983,1662095,2398742,3406723,4579022
8,887.5335908999787,600.1292773199884,859.4673811599268,534.1258688199578,929.7777050399736,1440.1379866200277,1983.0037650599716,1388.9341165200076,1946.2523436000429,2422.071038760034,77112,155987,340623,507388,744866,1170480,1731690,2542020,3638753,4595758
9,903.8755739000408,566.0789561000374,1121.3782694999863,900.2125844799712,871.1832741199923,1691.1449684999825,1825.5769183399789,2159.8122571199547,1955.7593514200344,1513.194019739958,77813,152834,359089,548194,858229,1249372,1936090,2780207,3956368,5286196
10,845.5739299800398,523.4879444399758,1313.614948880022,944.6507607999565,1052.3187574200347,1823.4618960399948,1429.1883198599644,1998.6536313400647,1746.1105660000303,1838.8786354800395,68053,137295,286789,468058,699513,1081838,1668355,2397345,3576520,4688359
11,529.3147048599567,274.467540980002,996.7645234399606,920.6205307399914,944.559858440015,1430.8065513399833,2304.998653819952,1568.8342418199445,1664.3263488000412,1791.492405620018,73977,151303,343625,516448,766074,1206414,1838938,2645136,4019083,5430798
12,815.76395908002,580.6313616600128,1438.5613452400066,883.6226130599407,789.6079018600149,1259.789745320033,1927.0582824600351,1636.08767401996,1894.142568659934,1521.6172600800055,71940,144359,338982,509418,759623,1046082,1613186,2253742,3322389,4386441
13,855.5714617799731,608.5820504400062,1315.9103902799816,1475.9185923000223,1895.31140709996,1468.0982033600158,1791.833142359983,1862.7343039599218,1713.9968960999868,2050.3326475600297,69294,141133,322650,510055,749694,1149196,1701592,2449545,3857037,5181411
14,468.5112722400245,667.4374528600138,1274.2490521199543,1585.6457131000461,1418.1157449799812,1560.9923124000052,1557.7812434800508,1900.8287998600354,1532.3415329599666,1852.6544012000286,66732,136530,293242,481706,720989,1108173,1723234,2499514,3906317,5265222
15,926.1717710200128,1234.1325182400233,1045.2543666399233,1007.2334712199518,1002.459581639976,1299.1078079199942,1786.4181117999688,1723.6321464600387,1862.9124293199893,1475.405161100016,71748,141755,311556,491949,716419,1089392,1609493,2321692,3558334,4721959
16,852.2162739599871,1071.0888421600666,1178.1498863200159,1253.7976183999672,1321.767419420019,2277.795824260076,2019.5400299599896,2129.0227456999837,2321.757257660027,2483.1781246799874,69653,144001,302527,510233,697043,1057388,1521869,2309470,3704241,4877050
17,640.7699248799536,513.9797523200468,1231.2494286999972,1202.0204045799965,1548.8763956400144,1600.6189685999489,1437.2299782199643,1927.3123996200156,1525.9955979600672,1901.364823780079,78236,161283,367594,572915,839964,1290084,1834816,2699779,4002202,5271591
18,643.3314739199814,733.5922853000266,1266.7529757600696,1232.4257948399209,1178.8205316799504,1112.8793152799717,1730.6049756400043,1482.1973826799585,1807.5068452600572,1544.825411460004,68161,133059,326180,513394,757310,1166985,1799437,2410892,3399684,4493991
19,896.9644852599858,841.6745249800351,1354.2701148000233,1358.792576120004,1428.0014702000371,1567.483559300039,1957.8749238200016,1875.242056379957,1832.2201314599624,1905.9371362399834,83171,167561,388546,613628,929817,1390048,2049564,2882310,4346489,5830400
20,811.9955576799812,734.7404425599725,1275.7939662599874,1249.712770659975,1352.6739743200378,1417.3364455200244,1499.1019379199988,1838.9202734800165,1502.0008149800233,1761.5487361400592,62426,121051,293236,456856,680423,1051864,1506053,2190250,3416615,4719894
21,534.2419317198855,1038.8354847999417,989.0493359399889,1357.9670068799442,1427.3775958399892,1373.9128447400344,1910.0034330399612,1588.8622464799537,2036.462263319996,1533.9576291199664,65205,129275,289576,456461,686112,1070519,1545666,2310241,3613387,4766728
22,903.5514438399778,1328.594391439996,1055.4550600400144,1240.1134109400082,944.141673559986,1253.6030849200833,1902.7905267599908,1507.363245760058,1995.4777694799504,1861.2933395000528,69333,137655,313873,490389,692613,1053911,1556443,2210396,3443971,4546763
23,1009.0552387799798,1419.2628627400063,1201.813786959925,1296.6209517199604,1298.856716780001,1469.6226359400553,1842.8009930600365,1828.3652508200357,1416.682419760038,1792.8996541799352,70464,137866,329583,531749,759216,1137889,1605137,2381503,3722209,5047040
24,517.606345679952,858.933201860008,1271.1839306999973,1257.6398891799945,1330.2783161600455,1894.7281004399574,1801.0974964999714,1986.6433016600313,2242.984413780003,2196.659737640115,66982,135040,313530,506184,746618,1125589,1741702,2409933,3643810,5023298
25,881.4833589800019,1270.2827608400075,878.1399625400036,926.2060419800473,1011.3513570800351,1459.293711440023,1809.6735318798983,1405.9228979600393,2157.977671280096,1876.3225714000073,73143,145529,333341,535338,784866,1147580,1686522,2392511,3719656,5075105
26,890.1490855000047,1263.4224610600177,1159.6560531200212,1413.8173888800338,1418.5526930599717,1597.9082843800024,2074.2838681199573,1772.3870347000175,1529.1766338000743,1777.5614337800253,73393,148789,363823,600492,887765,1334603,2043860,2926522,4444776,6055502
27,486.44438910000645,1010.5290418399745,1280.9847890999663,1208.5292668800084,1673.1389547799918,1536.0231365599884,1498.4569902200365,1725.2056571199482,2146.264131099955,1486.5376852600639,73933,146808,358720,578818,902424,1382405,2086642,2857809,4291159,5755369
28,709.2719537199919,1081.8923473200248,853.2707978200497,844.3211061800193,1870.0134149600344,1276.3052703600006,1985.8171614999883,1434.7457046799846,2034.4105836999988,1938.0969137599532,67752,136210,291368,456482,653799,989010,1443047,2054790,3179221,4293694
