,VMAF_6,VMAF_5,VMAF_4,VMAF_3,VMAF_2,VMAF_1
0,20.324511270833334,17.912848447916662,14.755609375,9.6201166875,5.043111854166666,0.0
1,28.752355114583324,26.011228166666665,22.17215704166666,15.924936062499999,10.571630510416668,0.7375440104166666
2,41.27145428125,37.895476208333335,32.839427875,25.21777627083333,18.146035572916666,0.42568023958333334
3,69.15899007291665,66.27233947916666,62.232367791666675,54.99549135416666,48.04745755208332,21.5073515625
4,85.55494817708333,84.61510778125,83.18461489583332,80.642132125,77.40134905208333,59.59147647916666
5,73.34729051041666,70.42153366666666,66.88506653125,59.84831090624999,52.28581271875001,10.954729635416667
6,97.05038060416666,92.98905501041668,88.02331204166666,76.7662519375,64.05170925,0.0
7,98.94851356249998,94.74286398958336,89.42443217708333,77.04974384375,62.59029321875,0.0
8,85.861786875,83.239259875,79.50204147916665,71.33538473958333,62.416770625,14.275493229166667
9,98.61195752083333,94.46102003125,88.90351419791666,75.58340954166667,62.91255591666667,0.0
10,54.537315750000005,53.62697987500001,52.18509257291666,49.51837774999999,46.3176268125,32.429302104166666
11,71.58144260416665,69.70755185416667,66.579692,58.63718457291667,48.142892822916664,1.6011347708333334
12,62.96222454166667,61.53567286458333,59.20555279166666,52.97918275000001,44.77684796875,3.9362262812500006
13,72.96601252083333,72.40818117708334,71.77255072916667,70.67322159375,69.24103159375001,61.74818763541666
14,99.45918151041667,99.38129904166667,99.19137138541667,98.7712604375,97.82815234375,91.86333344791666
15,75.71806538541666,75.2042141875,74.48736927083334,73.168258875,71.17985270833334,59.86290902083333
16,66.17668057291667,65.65532498958333,64.67736827083333,62.63031303124998,60.00734670833333,46.24747060416667
17,78.46370636458335,77.82308402083335,76.94948480208333,75.19171046874999,73.04000620833332,61.14566061458333
18,8.884980885416667,8.613221479166667,7.950478427083334,6.593264124999998,5.399414114583332,2.285610291666667
19,22.812034791666665,22.318775833333333,21.38263125,19.61134078125,17.76534582291667,6.2370279687500005
20,36.81727223958333,36.25297636458334,35.3869325625,33.44775052083333,31.292777239583334,15.267539479166667
21,73.94083675,73.34141439583334,72.55349277083334,70.78462571875001,68.47834280208333,54.43435032291667
22,71.40554058333332,70.84164975,69.77578957291666,68.07628714583333,66.22342497916665,56.55988280208334
23,62.05345571875,61.63255266666667,60.966538208333326,59.40462633333334,57.79093408333334,48.794131739583335
24,84.94308346874999,84.01027543749998,82.45449815625,78.58076598958334,74.06189305208335,47.02982421874999
25,82.33846838541666,81.34504076041665,79.866659875,76.74111568750001,72.898522625,50.92944919791667
26,75.63316530208334,75.17098267708334,74.55872360416666,73.53386946874998,72.38296431250001,66.020525375
27,53.43211019791667,52.94526855208333,52.22808982291667,50.352295187500005,48.154751833333336,30.602504708333335
28,97.38599010416668,96.68724658333335,95.74243389583332,93.87216348958334,91.72866110416668,81.68692936458335
29,30.984516458333335,30.66793744791667,30.215351510416664,29.268202645833323,28.218362250000006,23.66751904166667
30,27.15091998958333,26.928131177083337,26.626933968750002,26.110888958333334,25.32587197916667,21.90226346875
31,19.044528041666666,18.563099458333333,17.47083633333333,15.61926165625,13.509597989583334,7.843783093749999
32,28.446315822916667,27.751746249999997,26.526514031250002,23.78334132291667,20.279445885416663,2.1689985729166668
33,20.570913739583332,20.195932510416664,19.363782156249997,17.80587658333333,15.912662020833334,4.821321833333333
34,6.487237916666668,6.041265802083332,5.531560499999999,4.259898458333334,2.866381614583333,0.2806314166666667
35,16.150285958333335,15.572863322916668,14.624112947916668,13.002200270833331,11.152614364583334,3.47255203125
36,46.146158989583334,45.35084772916667,44.39659980208333,42.724361083333335,40.5906186875,25.905166166666667
37,56.99753158333333,56.15529862499999,54.99361437500001,52.78503664583334,50.10893071875001,32.992081468749994
38,32.66599227083333,31.673074166666666,30.566599760416665,27.916328479166665,24.544887197916665,3.859412052083333
39,22.44690771875,21.782580135416666,20.914086833333336,18.66718982291667,16.4625580625,4.032907229166666
40,18.1347341875,18.01154738541667,17.330784125,16.335075062499996,15.034918625,8.86323730208333
41,38.36581117708334,37.89173883333333,36.94268080208332,34.994369343749995,32.73277809374999,27.749562218749993
42,25.702819677083333,24.7457505625,23.0375114375,20.14948571875,15.84536920833333,1.8457695
43,29.968811770833334,29.87368098958333,29.56949221875,28.597077302083335,27.61252761458333,23.318465010416666
44,20.24427255208333,20.241600229166668,20.044840833333335,19.17830596875,18.332363218749997,12.844340427083333
