,Scheme,Avg Efficiency,Avg Energy,Efficiency_X,Efficiency_G,QoE,Rebuffer,Smooth,Energy_G,Energy_X,Data
0,GreenABR,1.0,0.43,1.0,1.0,1.0,0.15,0.61,0.42,0.46,0.4
1,Pensieve,0.45,1.0,0.48,0.41,0.78,1.0,0.85,1.0,1.0,1.0
2,BB,0.54,0.91,0.56,0.51,0.9,0.75,1.0,0.93,0.87,0.97
3,Bolae,0.66,0.8,0.69,0.61,0.99,0.48,0.75,0.84,0.73,0.91
4,DD,0.65,0.8,0.68,0.61,1.0,0.47,0.77,0.84,0.73,0.92
5,Dynamic,0.59,0.88,0.62,0.55,0.97,0.69,0.89,0.92,0.83,0.97
6,Throughput,0.63,0.66,0.65,0.6,0.81,0.33,0.7,0.69,0.6,0.67
