,VMAF_10,VMAF_9,VMAF_8,VMAF_7,VMAF_6,VMAF_5,VMAF_4,VMAF_3,VMAF_2,VMAF_1
0,97.51434791666667,97.51263802083335,97.49199000000002,97.46297020833335,92.02127531250001,86.00242906250001,71.56487895833332,57.966433124999995,5.1988868749999995,5.21801875
1,35.69383666666668,35.70157979166667,35.63709874999999,35.56120104166666,33.36159354166667,31.02305677083333,26.470581666666668,22.37396739583333,11.108383541666667,11.0559709375
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,21.3543121875,21.242397812500002,21.025461874999998,20.663192604166667,16.725158125,13.021520520833334,6.462130520833332,1.5424724999999995,0.0,0.0
4,82.02211458333335,81.20483374999999,79.47105989583333,76.79717718749998,67.09210093749999,54.96764552083334,29.61431604166666,13.167892291666668,0.02415270833333333,0.024098645833333335
5,80.72836020833333,80.53023666666667,79.86403270833333,78.77342614583333,71.762286875,63.92450395833333,50.37072979166667,36.70956,0.0,0.0
6,85.11969427083334,84.88904520833333,84.29825343750001,83.41559510416667,77.39496604166668,70.94387854166666,59.15184812499999,47.67331208333334,1.0561551041666668,0.3626586458333333
7,62.63397302083334,61.9798175,60.26125364583333,57.92903906249999,45.47112229166667,35.480680208333325,20.562478958333333,10.368051770833334,0.0,0.0
8,62.12417781250001,61.638305625,60.5558178125,59.131029791666656,48.40457229166667,38.171217708333344,23.129856875,10.810968541666668,0.0,0.0
9,59.446593750000005,59.02548010416667,58.02932197916667,56.79983625,47.32183322916667,37.61746854166667,22.964855833333335,11.203039375,0.0,0.0
10,58.22829552083334,58.077594375,57.71024,57.120043125,51.71856697916667,44.80331458333333,32.4036584375,19.37301541666666,0.0,0.0
11,78.48143489583332,78.28734479166667,77.92869166666665,77.40556489583332,71.51468593750002,63.8354396875,48.75410572916667,32.434972083333335,0.0,0.0
12,66.37258302083333,66.21468947916665,65.80506302083333,65.32455895833333,61.57046770833333,55.99561812500001,42.9522096875,28.320206874999997,0.0,0.0
13,55.170703020833336,54.877857916666656,54.14415187499999,53.00594479166666,49.59959645833334,43.496345208333324,31.5226584375,18.682742604166666,0.0180628125,0.019170625
