,Scheme,Avg Efficiency,Avg Energy,Efficiency_X,Efficiency_G,QoE,Rebuffer,Smooth,Energy_G,Energy_X,Data
0,GreenABR,1.0,0.72,1.0,1.0,0.99,0.28,0.79,0.79,0.63,0.66
1,Pensieve,0.83,0.97,0.81,0.86,1.0,1.0,0.92,0.99,0.96,1.0
2,BB,0.73,1.0,0.69,0.78,0.94,0.96,1.0,1.0,1.0,0.96
3,Bolae,0.81,0.9,0.78,0.84,0.98,0.7,0.84,0.94,0.87,0.9
4,DD,0.8,0.91,0.78,0.84,0.98,0.72,0.84,0.94,0.88,0.9
5,Dynamic,0.76,0.98,0.73,0.81,0.97,0.91,0.94,0.99,0.96,0.96
6,Throughput,0.71,0.81,0.7,0.74,0.78,0.57,0.82,0.85,0.76,0.68
