,Scheme,Avg Efficiency,Avg Energy,Efficiency_X,Efficiency_G,QoE,Rebuffer,Smooth,Energy_G,Energy_X,Data
0,GreenABR,1.0,0.6,1.0,1.0,1.0,0.15,0.59,0.69,0.49,0.41
1,Pensieve,0.52,1.0,0.5,0.57,0.77,1.0,0.87,1.0,1.0,1.0
2,BB,0.6,0.91,0.57,0.66,0.86,0.75,1.0,0.95,0.88,0.94
3,Bolae,0.72,0.81,0.69,0.77,0.95,0.49,0.75,0.88,0.74,0.89
4,DD,0.72,0.8,0.69,0.77,0.95,0.48,0.77,0.87,0.73,0.89
5,Dynamic,0.66,0.89,0.63,0.72,0.92,0.71,0.88,0.94,0.84,0.94
6,Throughput,0.67,0.69,0.65,0.69,0.78,0.34,0.7,0.77,0.61,0.65
