Bitrate,FileSize,Quality,Motion,Time,PixelRate
150,7278,53.28212374999999,0.03266875,0.0,57600
150,662,0.0,0.0,1.0,57600
150,6222,0.0,0.0,2.0,57600
150,935,86.08054750000002,0.03266875,3.0,57600
150,8339,24.5929375,0.067865,4.0,57600
150,635,0.0,0.0,5.0,57600
150,7940,8.198325,0.067865,6.0,57600
150,5117,90.18041833333332,2.503155833333333,7.0,57600
150,20328,0.0,3.66523625,8.0,57600
150,17934,0.34145125,8.669228333333333,9.0,57600
150,22405,5.535116666666667,14.890849583333333,10.0,57600
150,18255,3.7559745833333333,15.352540833333334,11.0,57600
150,17734,2.2600766666666665,13.339497083333333,12.0,57600
150,17235,0.0,8.29674666666667,13.0,57600
150,21754,0.0,7.75905375,14.0,57600
150,14829,3.46200625,6.083812916666665,15.0,57600
150,16869,31.25539208333333,4.833935833333332,16.0,57600
150,15095,19.943657083333328,8.30102125,17.0,57600
150,21269,0.0,2.3196245833333333,18.0,57600
150,10298,0.0,2.3733866666666668,19.0,57600
150,21971,0.0,2.36364125,20.0,57600
150,11561,0.0,2.7087708333333333,21.0,57600
150,21860,0.0,2.610407083333333,22.0,57600
150,10903,0.0,2.744335833333333,23.0,57600
150,26517,0.0,4.295660000000002,24.0,57600
150,16125,0.0,1.6993370833333332,25.0,57600
150,19327,0.0,1.9702537500000004,26.0,57600
150,16872,0.0,2.1649395833333336,27.0,57600
150,20059,0.0,2.497784583333333,28.0,57600
150,12986,0.0,2.610744583333334,29.0,57600
150,25512,0.0,3.0349133333333325,30.0,57600
150,14731,0.0,2.8364675,31.0,57600
150,24510,0.0,3.02068,32.0,57600
150,9999,0.0,2.065781666666666,33.0,57600
150,22426,0.0,2.0248854166666668,34.0,57600
150,12636,0.0,1.4336083333333332,35.0,57600
150,23668,0.0,1.7110441666666667,36.0,57600
150,13146,0.0,2.712565000000001,37.0,57600
150,22734,0.0,2.7968491666666666,38.0,57600
150,18247,0.0,6.598969583333332,39.0,57600
150,17350,0.0,4.866329583333333,40.0,57600
150,14610,0.0,3.8734808333333337,41.0,57600
150,21009,0.0,2.01500875,42.0,57600
150,13567,0.0,2.00938375,43.0,57600
150,18685,0.0,4.822041249999999,44.0,57600
150,14496,0.0,4.5492629166666685,45.0,57600
150,23653,16.678259999999998,20.146844166666668,46.0,57600
150,15132,7.52955625,19.881546250000003,47.0,57600
